snap(-50,-65,0)
sky(206,230,255)
fog(189,207,242)
clouds(210,210,210,1,-1000)
ground(180,191,209)
texture(62,68,104,20)
fadefrom(5000)
density(4)
mountains(29311)
lightson()

nlaps(1)

set(48,0,0,45)p
set(15,-3960,3959,45)p
set(15,-7920,7919,45)p
set(15,-11880,11879,45)p
set(33,-3960,3959,45)
set(33,-7920,7919,45)
set(15,-15840,15839,45)
chk(42,-15840,15839,45)
set(17,-19057,19056,45)pt
set(15,-15840,22273,135)p
set(15,-11880,26233,-45)p
set(15,-7920,30193,-45)
set(34,-7920,30193,-45)pr
set(15,-3960,34153,135)p
set(15,0,38113,135)p
set(16,3959,42072,-45)p
set(15,7919,46032,-45)p
set(15,11879,49992,135)p
set(17,15096,53209,225)pt
set(15,11879,56427,45)
chk(42,12869,55437,45)
set(17,8662,59644,-45)pt
set(15,5444,56427,135)p
set(15,1484,52467,-45)p
set(15,-2475,48507,135)
set(34,-2475,48507,135)pr
set(21,-6435,44547,135)p
set(18,-10395,40587,135)p
set(18,-14355,36628,-45)p
set(22,-16731,34252,135)
set(10,-19107,31876,-45)p
set(31,-23426,27556,135)pr
set(23,-24614,26368,-45)
set(23,-24929,22094,45)
set(23,-28889,26054,225)
set(10,-26909,24074,45)
set(26,-27580,24745,135)pr
set(26,-26237,23402,135)
set(23,-29204,21778,135)
set(10,-31184,19798,-45)p
set(10,-35144,15839,135)p
set(10,-39104,11879,135)p
set(10,-43063,7919,-45)p
set(10,-47023,3959,-45)
set(32,-46255,4091,135)
set(32,-46573,4409,135)pr
set(32,-46892,4727,135)
set(10,-50983,0,-45)p
set(10,-54943,-3960,-45)p
set(10,-58902,-7920,-45)p
set(14,-62120,-11137,135)pt
set(10,-65337,-7920,45)
chk(40,-64347,-8910,45)
set(14,-68555,-4703,45)pt
set(10,-65337,-1485,135)p
set(10,-61377,2474,-45)p
set(29,-57867,5984,-45)pr
set(10,-54357,9495,-45)p
set(10,-50397,13454,-45)p
set(10,-46438,17414,135)p
set(10,-42478,21374,135)p
set(10,-38518,25334,135)p
set(10,-34558,29294,-45)
chk(40,-34558,29294,135)
set(14,-31341,32511,225)pt
set(10,-34558,35728,45)p
set(31,-38878,40048,45)pr
set(23,-40066,41236,225)
set(23,-44340,41551,-45)
set(23,-40381,45510,135)
set(10,-42360,43530,135)
set(26,-41689,44202,45)pr
set(26,-43032,42859,45)
set(23,-45943,47113,45)
set(10,-47923,49093,45)p
set(10,-51882,53052,225)p
set(10,-55842,57012,225)p
set(30,-60162,61332,45)pr
set(10,-63330,64500,225)p
set(10,-67289,68459,225)p
set(10,-71249,72419,225)p
set(14,-74467,75637,-45)pt
set(10,-77684,72419,135)
chk(40,-76694,73409,135)
set(14,-80901,69202,45)pt
set(10,-77684,65985,45)p
set(10,-73724,62025,45)
set(26,-72310,60611,225)pr
set(10,-69764,58065,45)p
set(10,-65805,54105,45)p
set(10,-61845,50145,45)p
set(10,-57885,46186,45)p
set(10,-53925,42226,225)p
set(10,-49965,38266,225)p
set(31,-47230,35530,225)pr
set(23,-46042,34342,45)p
set(23,-41767,34028,135)
set(23,-45727,30068,-45)
set(10,-43747,32048,135)
set(26,-44419,31376,225)
set(26,-43075,32719,225)
set(23,-34360,25037,45)
set(23,-34360,25037,225)
set(32,-34360,25037,225)
set(23,-36736,22661,45)
set(23,-36736,22661,225)
set(32,-36736,22661,225)
set(30,-28272,21324,45)
set(30,-29460,20136,45)
set(30,-30648,18949,45)
set(30,-31836,17761,45)
set(30,-33024,16573,45)
set(24,-27629,15929,45)
set(16,-25649,13949,225)
set(15,-21689,9990,225)
set(15,-17729,6030,45)
set(15,-13769,2070,225)
set(15,-9809,-1890,45)
chk(42,-9809,-1890,45)
set(33,-21689,9990,225)
set(33,-17729,6030,45)
set(15,-5850,-5850,45)p
set(24,-3870,-7830,225)
set(24,1979,-1980,225)p
maxl(20,-83303,-13350)
maxb(21,-15750,-80903)
maxr(20,17497,-13350)
maxt(21,80250,-80903)







